_id,business_name,business_id,pitch_id,business_founders[0],business_founders[1],business_founders[2],business_founders[3],business_founders[4],Business Attributes.Business Fundamentals.Business Origin Story.Inspiration Source,Business Attributes.Business Fundamentals.Business Origin Story.Development Timeline,Business Attributes.Business Fundamentals.Regulatory Requirements.Compliance Status,Business Attributes.Business Fundamentals.Regulatory Requirements.Specific Compliance,Business Attributes.Business Fundamentals.Regulatory Requirements.Regulatory Bodies,Business Attributes.Business Fundamentals.Market Recognition.Achievements & Awards,Business Attributes.Business Fundamentals.Market Recognition.Public Perception,Business Attributes.Business Fundamentals.Industry Classification.Primary Industry,Business Attributes.Business Fundamentals.Industry Classification.Sub-Industry Examples,Business Attributes.Business Fundamentals.Development Stage,Business Attributes.Business Fundamentals.Business Model.Primary Revenue Model,Business Attributes.Business Fundamentals.Business Model.Target Market Segment,Business Attributes.Financial Metrics.Revenue Brackets (Annual),Business Attributes.Financial Metrics.Profitability Status,Business Attributes.Financial Metrics.Cost Structure Components,Business Attributes.Financial Metrics.Investment Profile.Previous Funding Sources,Business Attributes.Financial Metrics.Investment Profile.Investment Ask,Business Attributes.Financial Metrics.Investment Profile.Equity Offered,Business Attributes.Market Position.Customer Engagement.Feedback Channels,Business Attributes.Market Position.Customer Engagement.Customer Loyalty Programs,Business Attributes.Market Position.Digital Presence.Online Platforms,Business Attributes.Market Position.Digital Presence.Digital Marketing Channels,Business Attributes.Market Position.Market Size Categories,Business Attributes.Market Position.Competition Level,Business Attributes.Market Position.Competitive Position,Business Attributes.Product/Service Attributes.Innovation Level,Business Attributes.Product/Service Attributes.Intellectual Property Status,Business Attributes.Product/Service Attributes.Development Status,Business Attributes.Team Composition.Leadership Experience,Business Attributes.Team Composition.Background,Business Attributes.Team Composition.Team Size,Business Attributes.Team Composition.Expertise Coverage,Business Attributes.Growth & Scalability.Growth Rate,Business Attributes.Growth & Scalability.Scalability Potential,Business Attributes.Growth & Scalability.International Potential,Business Attributes.Impact & Sustainability.Product Lifecycle Impact.Manufacturing Impact,Business Attributes.Impact & Sustainability.Product Lifecycle Impact.End-of-Life Management,Business Attributes.Impact & Sustainability.Community Integration.Local Impact,Business Attributes.Impact & Sustainability.Community Integration.Global Responsibility,Business Attributes.Impact & Sustainability.Environmental Impact,Business Attributes.Impact & Sustainability.Social Impact,Business Attributes.Impact & Sustainability.Sustainability Practices,Business Attributes.Risk Assessment.Operational Risks,Business Attributes.Risk Assessment.Market Risks,Business Attributes.Risk Assessment.Financial Risks,Business Attributes.Exit Strategy.Planned Exit Options,Business Attributes.Exit Strategy.Exit Timeline,Business Attributes.Innovation & Research.Research & Development.R&D Focus Areas,Business Attributes.Innovation & Research.Research & Development.Research Partnerships,Business Attributes.Innovation & Research.Technology Integration.Core Technologies,Business Attributes.Innovation & Research.Technology Integration.Technology Implementation,Business Attributes.Customer Experience.Service Delivery.Service Channels,Business Attributes.Customer Experience.Service Delivery.Customer Journey,Business Attributes.Customer Experience.Personalization Capabilities.Data Collection,Business Attributes.Customer Experience.Personalization Capabilities.Customization Options,Business Attributes.Additional Considerations.Cultural Fit,Business Attributes.Additional Considerations.Marketing Strategy,Business Attributes.Additional Considerations.Customer Relationship,business_founders[0].name,business_founders[1].name,business_founders[2].name,business_founders[3].name,business_founders[0].role,business_founders[1].role,business_founders[2].role,business_founders[3].role,business_founders,business_founders[0].confidence,Business Attributes.Financial Metrics.Revenue Brackets (Annual).Last Year,Business Attributes.Financial Metrics.Revenue Brackets (Annual).This Year
67bb3a7ec16cfda851c689cb,Your Ability,your_ability_1,not_provided,not_provided,,,,,Personal Problem/Need,Gradual Evolution,not_provided,not_provided,not_provided,not_provided,not_provided,Education & Training,Educational Technology,Revenue Generating,Service-Based,Business-to-Consumer (B2C),"Under $50,000",Early Profitability,not_provided,Bootstrap Only,not_provided,not_provided,Customer Service,not_provided,Online Marketplace,not_provided,Micro Market (<$1M),not_provided,Niche Player,Significant Improvement,not_provided,Market Testing,First-Time Entrepreneurs,not_provided,Small Team (4-10),Industry-Specific,Moderate Growth (20-50% annual),Moderately Scalable,International Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,Education/Skills Development,not_provided,Staffing Challenges,Market Acceptance,Capital Requirements,Franchise Development,Medium-term (3-5 years),Service Innovation,not_provided,not_provided,not_provided,Online Platform,Usage Period,not_provided,Service Personalization,Social Impact Focus,not_provided,Service-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689cc,Cinnamon Cove,cinnamon_cove_1,not_provided,Myla,Liz,,,,Social/Environmental Issue,Planned Launch,Not Yet Started,not_provided,not_provided,not_provided,Environmentally Conscious,Fashion & Apparel,not_provided,Initial Market Launch,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,Raw Materials & Supplies,Bootstrap Only,not_provided,not_provided,Social Media,not_provided,Social Media Presence,Social Media Marketing,not_provided,not_provided,New Entrant,Significant Improvement,not_provided,Production Ready,First-Time Entrepreneurs,not_provided,Co-Founders (2-3),Marketing/Sales,Hypergrowth (>100% annual),Highly Scalable,Regional Expansion Possible,Recycled Materials,Recyclable Products,Local Supplier Network,not_provided,Minimal Environmental Impact,not_provided,Sustainable Materials,Supply Chain Dependency,Market Acceptance,Capital Requirements,Strategic Acquisition,not_provided,Material Innovation,not_provided,not_provided,not_provided,Online Platform,Purchase Decision,not_provided,not_provided,Sustainability Focus,Social Media Focus,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689cd,Headvert,headvert_1,not_provided,not_provided,,,,,not_provided,not_provided,not_provided,Patent Compliance,not_provided,not_provided,not_provided,Consumer Goods & Retail,not_provided,Revenue Generating,Licensing & Royalties,Business-to-Consumer (B2C),"$250,000 - $500,000",Early Profitability,Administrative & Overhead,Bootstrap Only,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Medium Market ($10M-$100M),Moderate Competition (4-10 competitors),Niche Player,Significant Improvement,Patent Pending,Production Ready,First-Time Entrepreneurs,not_provided,not_provided,Marketing/Sales,Moderate Growth (20-50% annual),Highly Scalable,International Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,Licensing Deal,not_provided,Product Innovation,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689ce,Love Your Skin,LoveYourSkin_Izzy,not_provided,Izzy Dimovski,,,,,Personal Problem/Need,Sudden Inspiration,not_provided,not_provided,not_provided,not_provided,not_provided,Beauty & Personal Care,not_provided,Initial Market Launch,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"Under $50,000",Pre-Profit Stage,Raw Materials & Supplies,Bootstrap Only,"Under $50,000",21-25%,not_provided,not_provided,not_provided,Social Media Marketing,Micro Market (<$1M),not_provided,New Entrant,not_provided,not_provided,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,not_provided,not_provided,Moderately Scalable,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Staffing Challenges,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,,,,,,,,,,,,
67bb3a7ec16cfda851c689cf,Touchco,not_provided,not_provided,Daniel Baz,,,,,Technological Innovation,Gradual Evolution,Not Yet Started,Patent Compliance,not_provided,not_provided,Tech-Forward,Technology & Digital,Virtual/Augmented Reality,Prototype Development,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,Manufacturing & Production,Bootstrap Only,"$50,000 - $250,000",11-15%,not_provided,not_provided,not_provided,Advertising-Based,not_provided,Emerging Market (New category),New Entrant,Significant Improvement,Patent Pending,Prototype Phase,First-Time Entrepreneurs,Technical Experts,Solo Founder,Technical/Engineering,Pre-Growth,Highly Scalable,Global Market Potential,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Technology Risks,Market Acceptance,Capital Requirements,Strategic Acquisition,Long-term (5-10 years),Product Innovation,not_provided,not_provided,Custom Development,not_provided,not_provided,not_provided,not_provided,Innovation Focus,Advertising-Based,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689d0,OnTheGoSports,onthegosports_1,not_provided,Mick Spencer,,,,,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Business (B2B),$1 million - $5 million,Early Profitability,Raw Materials & Supplies,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,High Competition (10+ competitors),Niche Player,not_provided,not_provided,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,not_provided,Moderate Growth (20-50% annual),Highly Scalable,Global Market Potential,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Innovation Focus,not_provided,not_provided,,,,,,,,,,,,
67bb3a7ec16cfda851c689d1,Mute Me,mute_me_1,not_provided,Parm,Tai,Hund,Britney,,Personal Problem/Need,Opportunity-Driven,In Process,Patent Compliance,not_provided,not_provided,Tech-Forward,Technology & Digital,Hardware + Software Combined,Initial Market Launch,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$50,000 - $100,000",Pre-Profit Stage,Manufacturing & Production,Crowdfunding,not_provided,not_provided,not_provided,not_provided,Company Website,not_provided,Micro Market (<$1M),Limited Competition (1-3 competitors),New Entrant,Significant Improvement,Patent Pending,Production Ready,Mixed Experience Team,Technical Experts,Co-Founders (2-3),Technical/Engineering,not_provided,Moderately Scalable,National Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,Proprietary Systems,Online Platform,Usage Period,not_provided,not_provided,Innovation Focus,not_provided,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689d2,freckleberry Chocolate Factory,not_provided,not_provided,not_provided,,,,,Industry Experience,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Food & Beverage,Snacks & Confectionery,Growth Phase,Direct Sales (One-time Purchase),Business-to-Business (B2B),"$500,000 - $1 million",Early Profitability,Raw Materials & Supplies,Bootstrap Only,"$250,000 - $500,000",21-25%,not_provided,not_provided,not_provided,not_provided,Small Market ($1M-$10M),Moderate Competition (4-10 competitors),Niche Player,Significant Improvement,not_provided,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,not_provided,Moderate Growth (20-50% annual),Moderately Scalable,National Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Market Access,Market Acceptance,Capital Requirements,Strategic Acquisition,Medium-term (3-5 years),Product Innovation,not_provided,not_provided,not_provided,Physical Store,not_provided,not_provided,not_provided,Innovation Focus,not_provided,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689d3,Carbon 6 (Screen Machine),carbon6_screenmachine,not_provided,not_provided,,,,,Personal Problem/Need,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Technology & Digital,Educational Technology,Prototype Development,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,not_provided,Bootstrap Only,"Under $50,000",11-15%,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,New Entrant,Moderate Innovation,not_provided,Prototype Phase,Serial Entrepreneurs,Product Specialists,Solo Founder,Industry-Specific,Pre-Growth,Moderately Scalable,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,User Experience,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Technology Focus,not_provided,not_provided,,,,,,,,,,,,
67bb3a7ec16cfda851c689d4,Plunge,not_provided,not_provided,not_provided,,,,,not_provided,Gradual Evolution,Not Yet Started,not_provided,not_provided,not_provided,not_provided,Consumer Goods & Retail,E-commerce Platforms,Revenue Generating,Direct Sales (One-time Purchase),Direct-to-Consumer (D2C),$1 million - $5 million,not_provided,Manufacturing & Production,Bootstrap Only,$1 million - $5 million,Under 5%,not_provided,not_provided,Company Website,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Production Ready,First-Time Entrepreneurs,not_provided,Co-Founders (2-3),not_provided,Fast Growth (50-100% annual),Highly Scalable,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Scale-up Challenges,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,not_provided,not_provided,not_provided,not_provided,Digital Marketing,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689d5,Pouch,pouch_1,not_provided,,,,,,Market Gap Identification,Sudden Inspiration,Not Yet Started,Data Privacy Compliance,not_provided,not_provided,Tech-Forward,Technology & Digital,E-commerce Platforms,Initial Market Launch,Commission-Based,Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,Technology Infrastructure,Bootstrap Only,not_provided,not_provided,User Reviews,not_provided,Company Website,not_provided,Large Market ($100M-$1B),Limited Competition (1-3 competitors),New Entrant,Moderate Innovation,not_provided,Production Ready,First-Time Entrepreneurs,Technical Experts,Co-Founders (2-3),Technical/Engineering,Pre-Growth,Highly Scalable,Global Market Potential,not_provided,not_provided,not_provided,not_provided,Minimal Environmental Impact,not_provided,not_provided,Technology Risks,Market Acceptance,Capital Requirements,Strategic Acquisition,Medium-term (3-5 years),Technology Innovation,not_provided,not_provided,In-House Development,Online Platform,Awareness Phase,Browsing Behavior,Service Personalization,Innovation Focus,Digital Marketing,Transaction-Based,Ben,Johnny,,,Co-founder,Co-founder,,,,,,
