ID,Category,Question,,
542,Competition,looking at your margins and they areextremely healthy i'm surprised thatany and all of the chains haven'talready recruiteda number of lenders to set up a programthey have the processes in place theyhave the systems in place they own thereal estateit must be coming down the tracks idon't know i can't see if pharmacygo do you know there's a very simplereason whythey're not interested and it's to dowith margins so linda's margins at 60are very healthy but they're tinycompared to the emergence pharmaciesmake on drugs we havethe most expensive prescription drugsacrossa lot of countries in europe they'rewasting their time on this when theycould be printing money selling drugs topeople that's the way the model works inireland but they still haveanti-consultant rooms but they're notgetting anything so they want lindathere so they can sell stuff to thepeople who've taken the tests,,
544,Competition,so what happens when zuper or right move just decides to do this themselves,,
545,Competition,and how much do those sell for,,
546,Competition,tell my problem is i've seen both of these before but i've painted it i've had my painting no i have seen it before how long ago was it you painted it ifiled it july 2003 see i used to be in the care home market and i sold up in 1997. you know we had them before 1997.,,
547,Competition,the first one is getting um a franchisee you've got a small pool and the reason you've got a small pool is you need someone one passion about pole dancing and to make money they need to work in it the second one is i've never seen uh an industry so quickly growing of pilates and in yoga and the reason that's an issue for you is because it's a land grab yes and trying to find those great studios is really difficult at the moment,,
548,Competition,is there anybody else doing that,,
549,Competition,the thing that concerns me about your idea is that she's worried already yeah there's all these sorts of products out there at the moment that do probably more than that so why are you going to be successful in this space,,
553,Competition,now the reason i'm saying that is cuz there's a lot ofthese things around right,,
561,Competition,does everybody do this,,
565,Competition,how many sites have they got shops,,
566,Competition,would anybody be able to reduce it at all,,
567,Competition,is there a lot of competition out there anybody doing anything like this awesome?,,
568,Competition,but do all manufacturers of e-scooters have access to the battery eventually?,,
572,Competition,who else is selling this,,
576,Competition,h is that the state-of-the-art product at the moment?,,
579,Competition,so sky i do see competition for you so whilst there might not be somebody in the direct space anything that is a protein enhancer that's that's not this is actually competition to you at this point it's not an investment for me,,
580,Competition,you've checked out extensively that there's nothing like this out there annoying,,
582,Competition,how many different brands are they selling the same product,,
583,Competition,what's the difference in price,,
588,Competition,is there anything similar to it on the market currently,,
595,Business Fundamentals & Viability,"why don't you put this into yourcompany that's turning over 750,000 ayear and make a profit of 300 why don'tyou put this into that company",,
596,Business Fundamentals & Viability,you spending your money thenif you're not recording what it costs todo business how do you know if you'veactually got a viable business what arethe three critical numbers that you guyslook at every single day to know thatyou're on a trajectorywell that 185 transactions we'rewatching that transaction figure i carryvery closely,,
600,Business Fundamentals & Viability,tell me where you're thinking with regard to the business at the moment are you looking at the manufacturing side or are you looking at the licenses,,
606,Business Fundamentals & Viability,if it's work do you want a birthdays in sales that are timid and shy or do you want them back in the office doing the book that makes sense,,
609,Business Fundamentals & Viability,what's the arrangement with with grilled?,,
611,Business Fundamentals & Viability,can you just make it very clear to us what the education is?,,
614,Business Fundamentals & Viability,so how long have you been going,,
615,Business Fundamentals & Viability,do you do your diligence,,
618,Business Fundamentals & Viability,if he wants to double the price of the product because you've become really successful and you've done a great job then you can't take that product away from him and give it to another manufacturer to create correct,,
623,Business Fundamentals & Viability,how many senses are there?,,
624,Business Fundamentals & Viability,how do you live,,
625,Business Fundamentals & Viability,is that what you're saying,,
628,Business Fundamentals & Viability,so where arewe yourname,,
629,Business Fundamentals & Viability,what is your product,,
630,Business Fundamentals & Viability,well that is not correct today we're talking about our brand new american release that's not yet launched we're hoping to launch in la how are you connected to america then?,,
632,Business Fundamentals & Viability,what have you got?,,
634,Business Fundamentals & Viability,where are you guys from,,
635,Business Fundamentals & Viability,if you don't get the purchase order this company isn't worth anything,,
637,Business Fundamentals & Viability,how long ago did you start this business?,,
641,Business Fundamentals & Viability,what is the seasonality of this business?,,
642,Business Fundamentals & Viability,what's it called?,,
643,Business Fundamentals & Viability,when they what with the pee oh?,,
644,Business Fundamentals & Viability,am i right?,,
645,Business Fundamentals & Viability,how's your worst performing franchise doing,,
646,Business Fundamentals & Viability,what does it cost to open up a new unit,,
647,Business Fundamentals & Viability,jonathan it this isn't an investment isityou are a creative innovator and thereare loads of really small successfulagencies or medium-sized agenciesand and really that's your niche butthis isn't an investment propositionand i think that's that's the problemtoday,,
650,Business Fundamentals & Viability,how long have you been in business,,
654,Business Fundamentals & Viability,sought out your stock control your stock management you wouldn't need any money you don't need a hundred thousand pounds it's in your business,,
655,Business Fundamentals & Viability,so just bringing us to life?,,
656,Business Fundamentals & Viability,how does that work?,,
659,Business Fundamentals & Viability,what's that um so what dothat mean that's what easying yourlangage no no that's what i know how todo,,
661,Business Fundamentals & Viability,how long do they last,,
662,Business Fundamentals & Viability,have you worked all that out,,
663,Business Fundamentals & Viability,can you just run through how you think this financially works?,,
664,Business Fundamentals & Viability,how did you find them?,,
666,Business Fundamentals & Viability,what's arvr uh augmented reality virtual reality?,,
667,Business Fundamentals & Viability,so what you're saying is you have no idea how it's going to make any money you want me to invest 70 000 pounds and then show you how to make money,,
671,Business Fundamentals & Viability,why do i need you like what do you think the chances are in hell that this is going to happen,,
672,Business Fundamentals & Viability,what does that mean,,
677,Business Fundamentals & Viability,so it's a play or it's a musical i ii i didn't gather it is a mixture and it's quite a dramatic story and it's told through song and dance you could say it's a stage play but we have filming happening in the background that's shot on location we're creating a field for what it was like in the year of temperatures so it's a play with musical intermissions alright,,
679,Business Fundamentals & Viability,maybe we need to talk about somerevenues over the last two years whatyour growth looks like what your marginis what profits coming through yeah tellit tell us about how you run thebusiness that's what i'd like to hear,,
680,Business Fundamentals & Viability,when did you start,,
681,Business Fundamentals & Viability,so what's the point why don't you just tell me because this is on national t v,,
684,Business Fundamentals & Viability,so what are you demonstrating for us now i don't understand custom skincare shop,,
687,Business Fundamentals & Viability,when when did you start this business?,,
691,Business Fundamentals & Viability,what is the business or the product,,
692,Business Fundamentals & Viability,tell us how long have you been in business,,
693,Business Fundamentals & Viability,could you just tell us a bit about looking after kids that have got these challenges,,
695,Business Fundamentals & Viability,do you know what 8 000 means absolutely,,
696,Business Fundamentals & Viability,so that's 30 a day,,
699,Business Fundamentals & Viability,how long's the business been going and how big are we?,,
701,Business Fundamentals & Viability,when did you form this company?,,
702,Business Fundamentals & Viability,this really just trying to train babies to eat better,,
703,Business Fundamentals & Viability,so how long you been in business,,
704,Business Fundamentals & Viability,so where did the idea come from?,,
705,Business Fundamentals & Viability,what happened?,,
708,Business Fundamentals & Viability,what will that do for you?,,
709,Business Fundamentals & Viability,why would you want to be in the manufacturing business,,
714,Business Fundamentals & Viability,so what is your business,,
718,Business Fundamentals & Viability,this is a brand new business brand-new everything?,,
719,Business Fundamentals & Viability,i'm picking a real mixed messagehere um you've got apet tinder app for adopting pets yesyou've also lost a lost and foundelement of what you do yes and then yousort of say that you're actuallyexpecting to be lots and lots of usersso every every zippy user within 100kilometers is going to be able to dosomethingyesthis is something that is it does relyon a user basei mean you're all over the shop heremateyou've actually got a realcurious lack of focusokayif i want to find a pet why do i go anddownload an app?,,
720,Business Fundamentals & Viability,do you sell pet food,,
721,Business Fundamentals & Viability,so how long have you been in business,,
724,Business Fundamentals & Viability,what does your business plan look like,,
725,Business Fundamentals & Viability,do you not agree,,
726,Business Fundamentals & Viability,so i just need to get this terminology low fod map low fodmap or lofo low phoso the map map yes yes od map it's an acronym acronym and what does it stand for?,,
727,Business Fundamentals & Viability,so how long have you been in business?,,
728,Business Fundamentals & Viability,have you got it written downsomewhere,,
729,Business Fundamentals & Viability,so how long have you been going?,,
731,Business Fundamentals & Viability,could you answer why thathasn't happened honestly?,,
732,Business Fundamentals & Viability,i actually shut down the company three years ago and now this is the relaunch now why would you do that why would you shut it down,,
735,Business Fundamentals & Viability,so when did you launch the business?,,
742,Business Fundamentals & Viability,how much is that tothe consumer so on an average phone is65 to 70 euros to repair depending howfar you live from the fixie tech it's amobile service he'll come to you,,
743,Business Fundamentals & Viability,how doyou want to grow the business me wheredo you see it going what do you wantthere,,
744,Business Fundamentals & Viability,what's differentabout what you do you can order theparts you can order the tools someonesome of you don't know this was thequality of the part and quite off thetools are quite cheap so one of thethings that we were there's fourelements to the kiss is the part is 12on warranty with our parts and the toolsthey are professional quality tools andthen the guide it is our guide it'sdeveloped by us so if you have a problemduring it you call us and we can we cansupport you,,
748,Business Fundamentals & Viability,i'm confused i don't know what it is what problem are you trying to solve,,
749,Business Fundamentals & Viability,so the problem you're trying to solve is you're saying that children now are are are losing some certain motor skills correct and your program helps to fill that void,,
750,Business Fundamentals & Viability,so tell us the business,,
751,Business Fundamentals & Viability,can i just coach you for a minute you have 2/10 of no chance of getting an investment here today unless you cantell usnumbers,,
752,Business Fundamentals & Viability,lots of business to start out isone thing and then realized very quicklythey got to change so this was a datingsite yeah it was let's collaborate afornication you were growing up soyou're really just a test stagecurrently?,,
753,Business Fundamentals & Viability,what percentage of all the ones that youput forward as an idea don't get pickedup?,,
755,Business Fundamentals & Viability,so just if i understood what you guys just said i mean we we won seven of eight medals but we almost couldn't afford to finish the season that's true is that what you just said?,,
756,Business Fundamentals & Viability,how long you've been business for?,,
764,Business Fundamentals & Viability,i'm assuming that the business has been established for a while,,
765,Business Fundamentals & Viability,so just so i understand where the business is now yeah you started three years ago four years ago,,
767,Business Fundamentals & Viability,why would she give youexclusivity when you have nobody on thisbecause you probably had to qualify theexclusivity to an app or somethingspecific as opposed to all bookingsright we can know all bookings100 of their revenue is dependent on youright,,
768,Business Fundamentals & Viability,how many years you've been trading for,,
769,Business Fundamentals & Viability,why this why this type of business,,
774,Business Fundamentals & Viability,help me understand itbecause at the moment i'm going gee youdon't work very quickly well the firstidea came 10 years ago then certainthings happened i had to look after myson i'm a single parent and i had toovercome certain challenges not justdesign and these challenges took timetook time,,
775,Business Fundamentals & Viability,what is the business that you're pitching,,
782,Business Fundamentals & Viability,if this got on the shelves i'd buy one as you say just strap it on no messing around do me not do me neck in it's probably goodthe problem is how do you make money from itsell lots of them,,
783,Business Fundamentals & Viability,if you lost your dog what would you do,,
784,Business Fundamentals & Viability,if i find that dog what do i do next,,
786,Business Fundamentals & Viability,when did you incorporate this company,,
787,Business Fundamentals & Viability,what is the product that a person is buying,,
789,Business Fundamentals & Viability,what percentage of all the ones that you put forward as an idea don't get picked?,,
791,Business Fundamentals & Viability,how long has the business been going?,,
793,Business Fundamentals & Viability,contractual commitment,,
796,Business Fundamentals & Viability,what do you got,,
797,Business Fundamentals & Viability,can we do this again,,
800,Business Fundamentals & Viability,what's it about well,,
805,Business Fundamentals & Viability,do you understand the problem?,,
806,Business Fundamentals & Viability,i mean could you just tell us a bit about looking after kids that have got these challenges,,
808,Business Fundamentals & Viability,what you're saying is you can bring people up to do this job and give them a living so what kind of living could they make by working for you as a detailer,,
809,Business Fundamentals & Viability,so how long have you been going for,,
810,Business Fundamentals & Viability,are you paying yourself,,
812,Business Fundamentals & Viability,how much would that cost me?,,
813,Business Fundamentals & Viability,why,,
814,Business Fundamentals & Viability,okay what does it cost,,
815,Business Fundamentals & Viability,"the only thing i've come up with in my mind is two observations one is i'm having a kitty's party got 20 kids in a room got a plasma and your puppet can talk to the kids well no one's going to blow 20 grand on a kid's party with an interactive puppet or you're going to have a plasma in a reception where that the puppet it talks to people i can't see where somebody would pay 20 to 30,000 including the 8,000 add-on for the character so i think it is not a business viable proposition for that reason i'm out",,
816,Business Fundamentals & Viability,how's it going,,
817,Business Fundamentals & Viability,you're taking a passion a love thereality is now you get into a stagewhere how do i turn this or make thisinto some sort of business that is goingto give me a bit of a futureyou know where could this go where isthe money?,,
818,Business Fundamentals & Viability,what's your cost like you've got a lot of different products here but what's your basic cost,,
819,Business Fundamentals & Viability,what's the end product what am i,,
822,Business Fundamentals & Viability,i guess i go back to one question is is there an investment opportunity in this business plus these two these things is a single business entity because otherwise i'm being ripped off?,,
824,Business Fundamentals & Viability,why is that may i ask,,
826,Business Fundamentals & Viability,i don't know what an average pain party is so explain thatokay or show usdo you want to show themare you ready to embark on a journey with us,,
827,Business Fundamentals & Viability,so yourprimary business is producing the eventsthat's kind of the,,
828,Business Fundamentals & Viability,so what are you talking about,,
829,Business Fundamentals & Viability,how long have you been doing this how long has it been in existence for,,
830,Business Fundamentals & Viability,so what are you selling for,,
833,Business Fundamentals & Viability,so the business doesn't exist at the moment right now,,
835,Business Fundamentals & Viability,who owned the brand by the time we came along?,,
836,Business Fundamentals & Viability,how big is this business now?,,
838,Business Fundamentals & Viability,i'm getting the sense that actually this investment is for inventions correct,,
839,Business Fundamentals & Viability,so now's your chance to tell me the story behind this,,
840,Business Fundamentals & Viability,what was the rationale behind peachy and lean?,,
841,Business Fundamentals & Viability,your pitch did it go as well as planned,,
845,Business Fundamentals & Viability,where is it actually located,,
847,Business Fundamentals & Viability,how much cheaper are you getting your raw materials than the guy next door who's buying the fresh one off the shelf?,,
848,Business Fundamentals & Viability,what's the business then what are we buying into the create brand or everything the whole company,,
849,Business Fundamentals & Viability,have you spoken to them uh did yousee any synergies there?,,
850,Business Fundamentals & Viability,are you drawing a wage from the company,,
851,Business Fundamentals & Viability,royalty and license you are putting someone else's art under this,,
853,Business Fundamentals & Viability,so seasonal,,
854,Business Fundamentals & Viability,give me another example,,
855,Business Fundamentals & Viability,where are you at with this,,
857,Business Fundamentals & Viability,are they willing to pay cuz it's really hard to get cash?,,
858,Business Fundamentals & Viability,where are we,,
859,Business Fundamentals & Viability,"do you know what 8,000 means",,
860,Business Fundamentals & Viability,where are you at,,
864,Business Fundamentals & Viability,what do we got,,
865,Business Fundamentals & Viability,uh what's the other business?,,
868,Business Fundamentals & Viability,what is the product,,
869,Business Fundamentals & Viability,but wouldn't the u spart of your business counteract that,,
872,Business Fundamentals & Viability,why is this a business?,,
873,Business Fundamentals & Viability,so you've saw the pub that you had how was that doing was that a successful business,,
874,Business Fundamentals & Viability,what happened like you were doing calbo and then you had a number of locations across the countrywhy why did you decide to stop doing that to to do this,,
876,Business Fundamentals & Viability,is it a business that i can invest in,,
877,Business Fundamentals & Viability,what's the number at the bottom of your balance sheet is it positive or negative?,,
878,Business Fundamentals & Viability,how much?,,
879,Business Fundamentals & Viability,you have not got forward orders of 800 000 have you no can i ask how much do they cost how much do they sell for?,,
880,Business Fundamentals & Viability,that's only in the australian distribution right so what else have you got going that's not a part of this deal?,,
881,Business Fundamentals & Viability,david um what is the product isn't it?,,
882,Business Fundamentals & Viability,i'm confused i don't know what it is but what problem are you trying to solve?,,
883,Business Fundamentals & Viability,so the problem you're trying to solve is you're saying that children now and losing some certain motor skills correct and your program helps to fill that void,,
884,Business Fundamentals & Viability,currently a lot of that means sorry what does that even mean for a long long time lots of education institutions from tiny from preschools and all day care centers to schools haven't had clear rules haven't had clear processes to manage behaviors,,
888,Business Fundamentals & Viability,how long have you been in business?,,
889,Business Fundamentals & Viability,when was the aha moment?,,
890,Business Fundamentals & Viability,so you have another business?,,
891,Business Fundamentals & Viability,how do you know have you done clinical treatment?,,
892,Business Fundamentals & Viability,i mean could you just tell us abit about looking after kids that have got these challenges?,,
895,Business Fundamentals & Viability,tell us about the company as of today as of this moment,,
898,Business Fundamentals & Viability,what do you do bell now,,
900,Business Fundamentals & Viability,what surprises me is that you've had to give free products and that neither have you had the acumen to say there is 26k worth of profit to you clear profit because we're giving it you now in exchange for that we want a contract with you that says you will run a trial with your customers and yet you didn't think of that i didn't think of running a trial with the customers no,,
901,Business Fundamentals & Viability,why don't you tell us a bit about the business side of it?,,
902,Business Fundamentals & Viability,demetrius and utah tell us how you cameup with this idea and how it's flying sofar,,
903,Business Fundamentals & Viability,what's the arrangement with withgrilled,,
907,Business Fundamentals & Viability,do you understand what gross profitis,,
908,Business Fundamentals & Viability,"you've sold the internationalrights for $75,000 why did you do thatif this is such a big opportunity?",,
909,Business Fundamentals & Viability,so if all you are islooking for a loan why not go to abank,,
910,Business Fundamentals & Viability,are they towhouses,,
911,Business Fundamentals & Viability,this is to stop people putting petrol y into cars that take diesel yes and that happens how many times a year?,,
912,Business Fundamentals & Viability,did you have to run a business plan by them?,,
926,Business Fundamentals & Viability,"o k, and that's sale or return?",,
938,Business Fundamentals & Viability,"o k, for 30 people, how big a space do you need?",,
942,Business Fundamentals & Viability,what on earth is this business?,,
997,Business Fundamentals & Viability,when did you found this company and what are your selling today,,
1026,Business Fundamentals & Viability,so how long has your business been established?,,
1033,Business Fundamentals & Viability,"b y t he w ay, i s t hi s r ea l m on ey?",,
1034,Business Fundamentals & Viability,w he re'd y ou g et i t f ro m?,,
1035,Business Fundamentals & Viability,i s t he re a b us in es s i n t ap in g t hi s b ac k t og et he r a ga in?,,
1064,Business Fundamentals & Viability,"you've sold 1,800 so you've got a nice working model of what you're retailing at what your costs are to produce and and what your margins are so can you walk walk us through the financial logic of why we should look at this seriously",,
1069,Business Fundamentals & Viability,i have to understand the genesis of this story.,,
1081,Business Fundamentals & Viability,the other thing is do you think the person who runs that store wants the person to walk out not make a decision?,,
1082,Business Fundamentals & Viability,but tell me about the business side.,,
1115,Business Fundamentals & Viability,what are we investing in your business or just the drone?,,
1116,Business Fundamentals & Viability,what is this one,,
1117,Business Fundamentals & Viability,what is this thank,,
1121,Business Fundamentals & Viability,do you make some money playing your guitar too?,,
1123,Business Fundamentals & Viability,what sort of fish do you have in a vegan fish and chip shop i i don't get it the numbers don't the numbers don't sing to me i i hate being preached the lifestyle out as well to be quite honest i find it actually quite condescendingum so uh but i still wish you all the best i don't want to see anyone fail in business but i'm out,,
1125,Business Fundamentals & Viability,robert what problem are we trying to solve with this?,,
1126,Business Fundamentals & Viability,you're looking for 140 000 for 20right that's correct okay great what iswisdom plop whatwhat is,,
1127,Business Fundamentals & Viability,so i've got a 17-monththree-week-old daughterbasically so you're saying it happens at18 months i'm now scaredyou should betell us a bit about your business andwhat you've actually done so far,,
1128,Business Fundamentals & Viability,so on a building site that for instance is building two hundred three hundred houses how many of these would be needed?,,
1131,Business Fundamentals & Viability,see hatsalready have what if what if a certain school actually has caps we can still do cs you actually have to you actuallytrying to make this lace version of ahat for every variation of school outthere you need a better way to doit i'll let you know where i'mat one thing don't go about makinghats work out a better way to fit thisinside a hat,,
1135,Business Fundamentals & Viability,where are you from and where abouts will this be,,
1136,Business Fundamentals & Viability,do you have any examples ofmerchandise that you're contemplating,,
1138,Business Fundamentals & Viability,tell us a bit about your business and what you've actually done so far,,
1142,Business Fundamentals & Viability,the business has been going for how long now,,
1143,Business Fundamentals & Viability,what's the cost,,
1144,Business Fundamentals & Viability,what does that cost,,
1149,Business Fundamentals & Viability,so tell us how long have you been in business,,
1153,Business Fundamentals & Viability,i don't know what it is what problem are you trying to solve,,
1154,Business Fundamentals & Viability,so the problem you're trying to solve is you're saying that children now are losing some certain motor skills correct and your program helps to fill that void,,
1155,Business Fundamentals & Viability,can i just coach you for a minute you have two tenths of no chance of getting an investment here today unless you can tell us numbers absolutely we don't have a we don't have a big business at the moment at all we don't have a good business,,
1157,Business Fundamentals & Viability,is there is there a profit motivation in this or are you trying to sustain these 2 000 plus jobs,,
1158,Business Fundamentals & Viability,am i investing in a business or i'm investing in a mission,,
1160,Business Fundamentals & Viability,how long have you been up and running,,
1161,Business Fundamentals & Viability,how did this all come about i mean what was the origin of this business and where did it start,,
1162,Business Fundamentals & Viability,brian you mentioned about some other businesses so how many companies have you got in total,,
1163,Business Fundamentals & Viability,i feel that somewhere along the way you've lost sight of the fact that this is not working is it and time to call it a day yeah or change the business model effectively start to purely re-evaluate absolutely i mean paying a pr company 40 or 50 000 pounds a year for it to go nowhere that's got to be really poor decision-making hasn't it it doesn't make sense and i sense almost a sense of desperation to you know rescue this help me fix it because otherwise i've got egg all over my face i think there's probably you know any emotional attachment to this particular product because it's my dad that came up with the idea,,
1164,Business Fundamentals & Viability,is this a business or is thisahobby,,
1167,Business Fundamentals & Viability,last message from your girlfriend?,,
1168,Business Fundamentals & Viability,in terms of the business how did you start?,,
1169,Business Fundamentals & Viability,are you here asking for our help are you herepresenting us a commercial propositionthat we can make money out of long termand just help along the way?,,
1171,Business Fundamentals & Viability,how much of that stuff you drink?,,
1172,Business Fundamentals & Viability,what is the problem you're solving,,
1176,Business Fundamentals & Viability,currently what does that mean sorry what does that even mean,,
1177,Business Fundamentals & Viability,tell us the business,,
1178,Business Fundamentals & Viability,so mobilizer is business to customer,,
1181,Business Fundamentals & Viability,what do you do,,
1183,Business Fundamentals & Viability,so what are you doing can you justwalk us through,,
1184,Business Fundamentals & Viability,if you're everywhere and you're really doing great why are you here?,,
1185,Business Fundamentals & Viability,you told me that you've done 14.2 million dollars in sales as a product it was done by an infomercial company for you yes of that during the same period you collected 800 000 which is around 5.4 right the reason you're here on the carpeted shark tank is you want to get the lion's share of this now and you need a partner you're in a bad deal that's really what this comes down to thank you,,
